QUESTION,ANSWER
Why are there different prices for the same product? Is it legal?,"Myntra is an online marketplace platform that enables independent sellers to sell their products to buyers. The prices are solely decided by the sellers, and Myntra does not interfere in the same. There could be a possibility that the same product is sold by different sellers at different prices. Myntra rightfully fulfils all legal compliances of onboarding multiple sellers on its forum as it is a marketplace platform."
How can I contact any seller?,"Myntra.com is a marketplace on which third-party sellers sell products to customers. To contact a seller or raise any grievance against them, please send a letter with the below address on the envelope and include product page URL so that it can be forwarded to the seller. "
"I saw the product at Rs. 1000 but post clicking on the product, there are multiple prices and the size which I want is being sold for Rs. 1600. Why is there a change in price in the product description page?","Myntra is an online marketplace, and multiple sellers could be selling a particular style at different prices as may be set by each such seller respectively. The product price on the listing page of the platform, may not always reflect the lowest price for that particular style. This is because the seller whose price is displayed on the list page is selected based on the application of a number of parameters and price is only one such parameter. However, once you land on the product display page on the platform for a specific style, you will have access to the price offered by all sellers on the platform for the relevant style."
How will I detect fraudulent emails/calls seeking sensitive personal and confidential information?,"If you receive an e-mail, a call from a person/association claiming to be from Myntra seeking sensitive confidential information like debit/credit card PIN, net-banking or mobile banking password, we request you to never provide such confidential and personal data. We at Myntra or our affiliate logistics partner never ask for such confidential and personal data. If you have already revealed such information, report it immediately to an appropriate law enforcement agency.

Here are a couple of baits fraudsters often use to cheat consumers:


Congratulations! You have been nominated as a ‘Top Myntra customer’ and are now eligible for a luxury gift item. Please share your proof of address and your debit/credit card details to avail this great offer.


Hi, I’m calling from Myntra. We are happy to let you know that you have won an exclusive lucky draw coupon of Rs. 5000 on your latest purchase. Please share your credit/debit card number so we can credit the money directly into your bank account."
How will I identify a genuine appointment letter? ,"Please beware of the fraudulent individuals/agencies that are enticing job seekers by promising them career opportunities at Myntra in lieu of 1.) recruitment fee 2.) processing fee 3.) security deposit 4.) software or equipment charges 5.) on-boarding charges etc. Please be cautious that, Myntra and its recruitment partners never ask for any fee in exchange for an offer letter or interview calls. All offer related communications are sent from an official Myntra email id only. "
Why will 'My Cashback' not be available on Myntra? ,"To make your shopping experience easier and simpler, 'My Cashback' will be replaced by PhonePe. PhonePe wallet can be used on Myntra and other PhonePe partners. To use your PhonePe balance, you will have to activate/verify your PhonePe account "
"How do I cancel the order, I have placed? ","Order can be canceled till the same is out for delivery. Note: This may not be applicable for certain logistics partner. You would see an option to cancel within 'My Orders' section under the main menu of your App/Website/M-site then select the item or order you want to cancel. In case you are unable to cancel the order from'My Orders' section, you can refuse it at the time of delivery and refund will be processed into the source account, if order amount was paid online. "
How do I create a Return Request? ,"You can create a Return in three simple steps
Tap on MyOrders
Choose the item to be Returned
Enter details requested and create a return request
"
I have created a Return request. When will the product be picked up? ,Number of days to pickup a product may vary as per the Logistics team that will be assigned to pickup your product. The product will be picked anywhere between 4 – 7 days. 
I have created a Return request. When will I get the refund? ,"Refund will be initiated upon successful pickup as per the Returns Policy. The refund amount is expected to reflect in the customer account within the following timelines:
Debit card/Credit Card/Net Banking/EMI- 7 days
UPI - 5 days
Myntra Credit/Super coins/Gift card/LP - Instant (upto 2 days in case of delay)
Wallets, ex PhonePe, PayZap etc - Instant (upto 2 days in case of delay)
Simple Paylater & Pay in 3 - Instant (upto 5 days in case of delay)
Lazypay - Instant (upto 5 days in case of delay)
"
Where should I self-ship the Returns? ,"You can send the return to any one of the following returns processing facilities listed below. Please ensure that you specify the name of the seller you purchased the products from (You can find the seller name on your order invoice) and dispatch the package to the address listed below. Kindly do not send it to any other address as the return package would not be treated as accepted.
**Bangalore
Instakart Service private limited, Anjaneya storage and warehousing, #421/1 and 43 Kacherakanahalli village,
jadigenahalli, Soukya Road Hosakote Taluk,
Bangalore Rural - 560067
**Hyderabad
Flipkart India Pvt.Ltd, Sy no 696, Gundlapochampally Village, Medchal Mandal, ranga reddy Dist, Secunderabad-501401
**Maharashtra
Survey nos. 42/2, 42/3, 51/2, 51/3, 51/4, 51/5B (old survey no.51/5A+B), 51/5A+6B, 51/5B+6A, 51/6, 57/17, 57/18, in K-square Industrial Park, Before Padgha Toll Naka, Nashik – Mumbai Highway, After Pushkar Mela Hotel, Kurund village, Bhiwandi, Maharashtra – 421101
**Kolkata
INSTAKART SERVICES PRIVATE LIMITED, Stellar FC, L.R. KHATIAN NO.5820, J.L. NO.11,MOUZA-BELUMILKI, BLOCK- SERAMPORE UTTARPARA,P.S- SERAMPORE,GRAM PANCHAYAT, PEARAPUR, HOOGHLY (D)- 712223
**Haryana
Block C, Embassy Industrial Parks Private Limited, Village Pathredi, Tehsil -Manesar, Gurugram(D) Haryana, INDIA- 122413
"
I have accumulated Myntra Points in my account. How can I redeem them? ,"To redeem Myntra Points, you will have to continue shopping with us on App/M-site/Website. In case, you don’t have access to the App/Website or M-site, don’t worry, your Myntra Points are safe with us, whenever you get access of these Platforms in future, you can redeem the same (unless points have not expired) "
What is Myntra's Platform Fee? ,"Platform fee is levied by Myntra to sustain the efficient operations and continuous improvement of the platform, for a hassle-free app experience. "
Refund of Platform Fee ,"a) If the order is lost or undelivered to the preferred location, the complete order amount will be refunded if paid online, including the platform fee.
b) If a customer cancels an order partially or returns an order, platform charges will not be refunded.
c) Platform charges will be refunded in case of a full order cancellation
d) For accounts whose return behavior does not adhere to our fair usage policy, platform fee will be non-refundable irrespective of order value*.
*Order value is calculated after applying discounts/VAT/GST or any other applicable charges.
"
What is Myntra’s Fair Usage Policy? ,"We always strive to provide the best experience to our customers. However, very rarely, there are some accounts that misuse Myntra's customer-friendly return service. These accounts typically return more items compared to an average user or frequently choose to not accept their shipments. "
How do I check the status of my order? ,Please tap on “My Orders” section under main menu of App/Website/M-site to check your order status. 
How can I check if Myntra delivers to my PIN Code? ,"You can find out if Myntra delivers to your PIN Code using the Pin code serviceability tool available on the product page. Please tap on “Check Delivery options” and enter your area PIN code in the respective field to get the required information about standard order delivery time and availability of Cash on Delivery for the Product selected. The PIN codes serviced by us are frequently updated, so if we do not deliver to your PIN code today, please come back and check to see if this has changed. "
Does Myntra deliver products outside India? ,"No. At this point, Myntra delivers products only within India. "
How can I get my order delivered faster? ,"Sorry, currently we do not have any service available to expedite the order delivery. In future, if we are offering such service and your area pincode is serviceable, you will receive a communication from our end. "
I have received a partial item/partial order or an Untenanted/Void packet? ,"Kindly reach out to us for pilferage within 72 hours of delivery failing which the claim will not be entertained. Whilst we investigate, request you to please make note of the below pointers:
Please do not use the item for which claim is being raised.
You may be required to information’s like, short description of the case (A few questions will be asked to help us understand the scenario)
The snapshots of the packet and other boxes (If any) (Try to cover the sides which look tampered/damaged as per the Users
The refund for prepaid/Cash on delivery orders will be done after the investigation
You may not be liable for a refund, if he/she falls in any of the scenarios stated below:
Failure to provide adequate information about the case.
Failure to provide snapshots of the packet and box(if any)
If a pilferage delivery was received, pilferage claims must be made the same day.
You must not dispose of the packaging for 3 - 4 days post - delivery. We might need to pick-up your packaging for investigation at our end.
You have used the item for which claim was raised.
In case of a component missing from a multi-component item such as Kurta, Bed - sheets, inner wear sets etc.only exchange return option would be provided basis serviceability and product type
"
What is Myntra's Cancellation Policy? ,"You can now cancel an order when it is in packed/shipped status, as long as the cancel option is available on App/Website/M-site. This includes items purchased on sale also. Any amount paid will be credited into the same payment mode using which the payment was made "
Can I modify the shipping address of my order after it has been placed? ,"Yes, You can modify the shipping address of your order before we have processed (packed) it, by updating it under 'change address' option which is available under ‘My order’ section of App/Website/M-site "
