title,brand,gender,mrp,discount_percent,price_after_discount,star_rating,num_ratings,product_link,scraped_on
Plodar M Men Running Shoes,ADIDAS,men,3299,64,1155,,0,https://www.myntra.com/sports-shoes/adidas/adidas-plodar-m-men-running-shoes/33529520/buy,2025-10-10T15:40:39.879678+05:30
Men Running Shoes,ADIDAS,men,2999,58,1240,4.4,1000,https://www.myntra.com/sports-shoes/adidas/adidas-men-grey-running-shoes/14609368/buy,2025-10-10T15:40:41.079709+05:30
Men Adivat Running Shoes,ADIDAS,men,3299,61,1260,4.3,3200,https://www.myntra.com/sports-shoes/adidas/adidas-men-black-solid-adivat-running-shoes-/13444428/buy,2025-10-10T15:20:29.018104+05:30
Pomazor M Running Sports Shoes,ADIDAS,men,3599,64,1260,4,0,https://www.myntra.com/sports-shoes/adidas/adidas-pomazor-m-men-logo-printed-running-sports-shoes/23382100/buy,2025-10-10T15:39:32.264625+05:30
Men Running Sports Shoes,ADIDAS,men,3599,64,1260,4.3,18,https://www.myntra.com/sports-shoes/adidas/adidas-pomazor-men-running-lace-up-sports-shoes/31788569/buy,2025-10-10T15:39:53.664261+05:30
Flexpace Men Walking Shoes,ADIDAS,men,3799,64,1330,4.5,103,https://www.myntra.com/sports-shoes/adidas/adidas-flexpace-men-lace-ups-walking-shoes/31788592/buy,2025-10-10T15:23:42.839163+05:30
Running Male OpticRun M Shoes,ADIDAS,men,3799,64,1330,4.1,16,https://www.myntra.com/sports-shoes/adidas/adidas-running-male-opticrun-m-shoes/33529519/buy,2025-10-10T15:31:40.045118+05:30
Men Sports Shoes,ADIDAS,men,3999,64,1400,4.5,11,https://www.myntra.com/sports-shoes/adidas/adidas-base-a-m-men-sports-shoes/35365041/buy,2025-10-10T15:20:48.022992+05:30
Glide-Supreme Men Sports Shoes,ADIDAS,men,3999,64,1400,4.5,27,https://www.myntra.com/sports-shoes/adidas/adidas-glide-supreme-men-running-shoes/31613961/buy,2025-10-10T15:34:14.268458+05:30
Men FLEECEWALK M Running Shoes,ADIDAS,men,3999,64,1400,4.4,80,https://www.myntra.com/sports-shoes/adidas/adidas-men-fleecewalk-m-running-shoes/24275022/buy,2025-10-10T15:35:48.548371+05:30
